year_month,delivery_days
2016-09,54.0
2016-10,19.065830721003135
2016-12,4.0
2017-01,12.085432639649508
2017-02,12.61248654467169
2017-03,12.422506040731792
2017-04,14.282600233553913
2017-05,10.889582812890332
2017-06,11.472341645170536
2017-07,10.975317028985508
2017-08,10.472795497185741
2017-09,11.401942157483639
2017-10,11.26409666283084
2017-11,14.580599480764691
2017-12,14.786811055438823
2018-01,13.656961552818215
2018-02,16.472536241521478
2018-03,15.602469751777473
2018-04,10.877475405647118
2018-05,10.858386683738797
2018-06,8.649778792635935
2018-07,8.428448275862069
2018-08,7.250630075609073
2018-09,
